PERMIT_TYPE	APP_ID	WDID	STATUS	NOI_PROCESSED_DATE	NOT_EFFECTIVE_DATE	REGION_BOARD	COUNTY	OPERATOR_NAME	FACILITY_NAME	FACILITY_ADDRESS	FACILITY_ADDRESS_2	FACILITY_CITY	FACILITY_STATE	FACILITY_ZIP	FACILITY_LATITUDE	FACILITY_LONGITUDE	FACILITY_COUNTY	FACILITY_CONTACT_FIRST_NAME	FACILITY_CONTACT_LAST_NAME	FACILITY_TITLE	FACILITY_PHONE	FACILITY_EMAIL	FACILITY_TOTAL_SIZE	FACILITY_TOTAL_SIZE_UNIT	FACILITY_AREA_ACTIVITY	FACILITY_AREA_ACTIVITY_UNIT	PERCENT_OF_SITE_IMPERVIOUSNESS	PRIMARY_SIC	SECONDARY_SIC	TERTIARY_SIC	RECEIVING_WATER_NAME	INDIRECTLY	DIRECTLY	CERTIFIER_BY	CERTIFIER_TITLE	CERTIFICATION_DATE	QUESTION_TMDL_ANSWER
Industrial	178315	1 12I015564	Terminated	01/04/2000	06/14/2004	1	Humboldt	Stuart LLC	Six Rivers Towing & Autobody 	1048 Vigo St		Eureka	CA	95501	40.784393	-124.182869	Humboldt	Rawee	Ghidinelli		707-442-4118		57737	SqFt		 		5015-Motor Vehicle Parts, Used			Palco Marsh						 
Industrial	178316	1 12I015743	Terminated	04/13/2000	06/14/2004	1	Humboldt	Figas Construction	Figas Const 	115 Redmond Rd		Eureka	CA	95503	40.792955	-124.08494	Humboldt	Robert	Figas		707-442-2620		5	Acres		 		4212-Local Trucking Without Storage			Freshwater Creek Humboldt						 
Industrial	178317	1 12I015818	Active	05/25/2000		1	Humboldt	FedEx Freight	FedEx Freight Arcata	5545 W End Rd		Arcata	CA	95521	40.904748	-124.071596	Humboldt	Ben	Andersen	Service Center Manager	707-822-7646	Benjamin.andersen@fedex.com	1	Acres	1	Acres	98	4231-Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation			Mad River	Y	N	Ben Anderson	LRP	22-APR-15 10.26.04.677000 AM	 
Industrial	178318	1 12I016032	Terminated	08/21/2000	07/29/2015	1	Humboldt	Humboldt Bay Forest Product	Humboldt Bay Forest Prod 	110 C St		Fields Landing	CA	95537	40.726971	-124.217404	Humboldt	Stanwood	A. Murphy, Jr	Jr	707-443-5631		50	Acres		 		2411-Logging			Humboldt Bay						 
Industrial	178319	1 12I016073	Active	09/11/2000		1	Humboldt	Humboldt Waste Management Authority	Hawthorne Street Transfer Station 	1059 W Hawthorne St		Eureka	CA	95501	40.78897	-124.1815	Humboldt	Eric	Keller		707-268-8680	ekeller@hwma.net	6	Acres	4.3	Acres		4212-Local Trucking Without Storage			Palco Marsh to Humboldt Bay	Y	N	Eric Keller Heckman	Interim Executive Director	18-JAN-23 11.33.28.638000 AM	 
Industrial	178320	1 12I016326	Terminated	01/24/2001	12/03/2019	1	Humboldt	Schneider Dock  Intermodal Facility Inc	Schneider Dock  Intermodal Facility Inc	990 W Waterfront Dr		Eureka	CA	95501	40.798597	-124.181759	Humboldt	Ryan	 Schneider	Owner	707-445-3080	schneiderdock@yahoo.com	16	Acres	16	Acres		4214-Local Trucking with Storage	2421-Sawmills and Planing Mills, General		Humboldt Bay	N	N	RYAN SCHNEIDER	President	03-JAN-17 03.09.35.456000 PM	 
Industrial	178321	1 12I016487	Terminated	04/24/2001	07/26/2005	1	Humboldt	Fairhaven Power Co 	Fairhaven Power Co 	97 Bay St		Samoa	CA	95564			Humboldt	Bob	Marino		707-445-5434	bmarino@dgfairhaven.com	22	Acres		 		4911-Electric Services			Humboldt Bay						 
Industrial	178322	1 12I016518	Terminated	05/14/2001	02/25/2016	1	Humboldt	Humboldt Waste Management Authority	Humboldt Waste Mgt Auth 	5775 Cummings Rd		Eureka	CA	95503	40.715273	-124.075104	Humboldt	Mark	Springman	Landfill Manager	707-442-9092	mspringman.hwma@gmail.com	38	Acres	5000	Sqft	30	4953-Refuse Systems			Freshwater Slough	Y	Y	Eric Keller Heckman	Interim Executive Director	18-JAN-23 11.33.28.657000 AM	 
Industrial	178323	1 12I016528	Terminated	05/18/2001		1	Humboldt	Aracta Readymix Inc 	Aracta Readymix Inc 	4945 Boyd Rd		Arcata	CA	95521	40.906565	-124.073573	Humboldt	Jay	Fullerton		707-822-1795		25	Acres		 		1442-Construction Sand and Gravel			Mad River						 
Industrial	178324	1 12I016555	Terminated	06/04/2001	06/24/2008	1	Humboldt	Eel River Sawmills 	Eel River Sawmills Mozzetti 2 	Half Mile Ne Ers Mill A		Fortuna	CA	95540			Humboldt	Rick	Steed	President	707-725-6911		4	Acres		 		4953-Refuse Systems			Eel River						 
Industrial	178325	1 12I016587	Terminated	07/02/2001	09/12/2008	1	Humboldt	Palco (non-stormwater sites)	Pac Lumber Co Stafford Left Ro	Stafford Left Haul Rd		Stafford	CA	95565			Humboldt	Robert	Vogt		7077642222	rvogt@palco.com	2	Acres		 		1429-Crushed and Broken Stone, NEC			Unnamed Creek						 
Industrial	178326	1 12I016645	Terminated	07/18/2001	08/20/2008	1	Humboldt	Palco (non-stormwater sites)	Barn II Rock Pit 	Appx 1 Mile West Of Kneeland		Kneeland	CA	95549			Humboldt	Bob	Vogt		707-764-4268	rvogt@palco.com	4	Acres		 		1429-Crushed and Broken Stone, NEC			Unnamed Creek						 
Industrial	178327	1 12I016688	Terminated	07/31/2001	08/30/2009	1	Humboldt	Palco (non-stormwater sites)	Tank Golch 	E Of Hwy 101 At Scotia		Scotia	CA	95565			Humboldt	BOB	Vogt		7077642222		12	Acres		 		4953-Refuse Systems									 
Industrial	178328	1 12I016961	Terminated	11/28/2001	07/11/2005	1	Humboldt	Samoa Chip Export 	Samoa Chip Export 	1339 Fay Ave		Samoa	CA	95564	40.795488	-124.195182	Humboldt	Samuel	Wong		707-269-7590	CarolRomero@EvergreenPulp.com	25	Acres		 		2499-Wood Products, NEC	2411-Logging		Humboldt Bay						 
Industrial	178329	1 12I016963	Terminated	11/28/2001	07/26/2005	1	Humboldt	Samoa Pulp Mill 	EVERGREEN PULP INC (LP SAMOA)	SAMOA PENNINSULA		Samoa	CA	95564			Humboldt						80	Acres		 		2611-Pulp Mills			Humboldt Bay						 
Industrial	178330	1 12I017135	Terminated	03/12/2002	05/31/2017	1	Humboldt	Customer Truck Service	Customer Truck Service 	1945 Hilfiker Ln		Eureka	CA	95503	40.771798	-124.191387	Humboldt	Steve	Shamp		707-442-8282	cts@humboldt1.com	2	Acres	2	Acres	20	4213-Trucking, Except Local			Humboldt Bay	Y	N	Alexander Prole	Environmental Compliance Officer	12-MAY-23 11.22.18.254000 AM	 
Industrial	178331	1 12I017241	Active	05/08/2002		1	Humboldt	Eureka Ready Mix Concrete Co	Eureka Ready Mix Concrete Co	4945 Boyd Rd		Arcata	CA	95521	40.906565	-124.073573	Humboldt	Alex	Prole	Environmental Compliance Manager	707-441-2791	alex@bettendorftrucking.com	24	Acres	11	Acres		3273-Ready-Mixed Concrete			Mad River	N	N	Michael McLaughlin	Regulatory Manager	18-SEP-15 12.03.26.007000 PM	 
Industrial	178332	1 12I017276	Active	06/03/2002		1	Humboldt	Eel River Disposal	Eel River Scrap and Salvage	850 Riverwalk Dr		Fortuna	CA	95540	40.585745	-124.158098	Humboldt	Dominick	Hardin		707-725-6530	arcata192@gmail.com	13	Acres	13	Acres		5093-Scrap and Waste Materials			Strongs Creek to Eel River	Y	N	DOMINICK HARDIN	95540	12-FEB-24 12.37.48.533000 PM	 
Industrial	178333	1 12I017294	Terminated	06/11/2002	08/09/2004	1	Humboldt	Green Diamond Resource Company	Green Diamond Resource Co Korbel In 	900 Riverside Rd		Korbel	CA				Humboldt	Glenn	Lehar		7076684439		54	Acres		 		0831-Forest Nurseries and Gathering of Forest Products			Mad River			Colin Campbell	Log Sales and Chip Facility Manager	16-AUG-22 10.10.44.531000 AM	 
Industrial	178334	1 12I017314	Terminated	06/19/2002	08/19/2004	1	Humboldt	Green Diamond Resource Company	Simpson Resource Co 	1508 Crannell Rd		Trinidad	CA	95570	41.013624	-124.066248	Humboldt	JOE	Kent		7076779233		5	Acres		 	5	2421-Sawmills and Planing Mills, General			Little River			Colin Campbell	Log Sales and Chip Facility Manager	16-AUG-22 10.10.44.548000 AM	 
Industrial	178335	1 12I017319	Active	06/19/2002		1	Humboldt	Kernen Construction Co	Kernen Construction Glendale Yard	2350 Glendale Dr		Mc Kinleyville	CA	95519	40.905931	-124.038144	Humboldt	Scott	Farley	Partner	707-826-8686	ystjohn@kernenconstruction.com	37	Acres	37	Acres		1429-Crushed and Broken Stone, NEC	4212-Local Trucking Without Storage		Hall Creek		N	Norman Farley	Partner	08-JUN-15 12.37.34.939000 PM	 
Industrial	178336	1 12I017348	Terminated	07/02/2002	01/01/2007	1	Humboldt	Simpson Timber Co 	Simpson Timber Co Big Lagoon S	109465 Hwy 101		Trinidad	CA	95570			Humboldt	Rob	Rice		7072683092	RRicci@Simpson.com	10	Acres		 	100	2411-Logging			Maple Creek						 
Industrial	178337	1 12I017422	Terminated	08/13/2002	04/05/2013	1	Humboldt	Hambro Forest Product Inc	Humboldt Flakeboard Panels Inc	4700 W End Rd		Arcata	CA	95521	40.89796	-124.07392	Humboldt	Renee	Rice		707-825-1800	rrice@ihfpcorp.com	11	Acres		 		2493-Reconstituted Wood Products			Janes Creek	N	N	Joel Wallen		23-JUN-11 03.13.39.179000 PM	 
Industrial	178338	1 12I017636	Terminated	11/18/2002	06/16/2016	1	Humboldt	Granite Construction Coastal Region	Arcata Facility 	1540 Giuntoli Ln		Arcata	CA	95521	40.905122	-124.083854	Humboldt	Carson	DeVinny	Plants Manager	707-467-4147	carson.devinny@gcinc.com	13.5	Acres	13.5	Acres	25	2951-Asphalt Paving Mixtures and Blocks	1442-Construction Sand and Gravel		Mad River	N	N	Carson DeVinny	Operations Manager 	24-FEB-25 11.53.19.663000 AM	 
Industrial	178339	1 12I017882	Terminated	03/11/2003	02/05/2009	1	Humboldt	McKinleyville Union School District	Mc Kinleyville Union Sch Dist 	2275 Central Ave			CA	95519	40.946726	-124.100981	Humboldt	Maureen	Hester		707-839-1549		14	Acres		 		4151-School Buses			Widow White Creek						 
Industrial	178340	1 12I017960	Terminated	03/15/2003	06/01/2009	1	Humboldt	Rio Dell City	Rio Dell City WWTF	475 Hilltop		Rio Dell	CA	95562	40.497472	-124.095473	Humboldt						22400	SqFt		 		4952-Sewerage Systems			Eel River						 
Industrial	178341	1 12I018147	Active	05/20/2003		1	Humboldt	Southern Humboldt Unified School	S H U S D Trans Yard 	110 School St		Miranda	CA	95553	40.235697	-123.81899	Humboldt	Karl	 Terrell	Transportation Director	707-943-3648	kterrell@sohumusd.com	45200	SqFt	40000	Sqft	0	4151-School Buses			Eel River	N	N	Thomas Booth	Mechanic	23-JUN-15 12.38.16.521000 PM	 
Industrial	178342	1 12I018299	Terminated	08/11/2003	07/17/2007	1	Humboldt	Eel River Sawmills	Eel River Lumber Prod 	1053 Northwestern Ave		Fortuna	CA	95540	40.512419	-124.123643	Humboldt	RICK	Steed		7077256911		60	Acres		 		2421-Sawmills and Planing Mills, General			Eel River	Y					 
Industrial	178343	1 12I018344	Terminated	09/11/2003	07/29/2015	1	Humboldt	Hansen Truck Stop 	Hansen Truck Stop 	2404 Sandy Prairie Rd		Fortuna	CA	95540	40.554239	-124.14713	Humboldt	Charles	Hansen	Pres Of Corp Hansen Truck Stop	707-725-1744		507664			 		9999-Nonclassifiable Establishments	3315-Steel Wiredrawing and Steel Nails and Spikes		Eel River	Y					 
Industrial	178344	1 12I018595	Terminated	01/22/2004	12/07/2017	1	Humboldt	Humboldt County Department of Aviation	Table Bluff Landfill Inert Cell Waste Disposal Site	Hookton Rd		Loleta	CA	95580	40.687867	-124.240027	Humboldt	Todd	Becker		707-268-2664	tbecker@co.humboldt.ca.us	1.5	Acres	.5	Acres	0	4953-Refuse Systems			Cleaner Creek	Y	N	Ryan Cooley	Director of Aviation	24-JUN-25 09.50.02.233000 AM	 
Industrial	178345	1 12I018618	Terminated	02/03/2004	06/06/2011	1	Humboldt	Eel River Lumber Products	Eel River Lumber Products	1576 Hwy 36		Hydesville	CA	95547	40.545828	-124.089162	Humboldt	Vince	Campbell		707-725-6911		22	Acres		 		2421-Sawmills and Planing Mills, General			Van Duzen River	Y		Veril Olsen	President	09-OCT-03 12.00.00.000000 AM	 
Industrial	178346	1 12I018700	Terminated	03/19/2004	07/26/2005	1	Humboldt	Stockton Pacific Ent Inc	Samoa Chip Export 	1339 Fay Ave		Samoa	CA	95564	40.795488	-124.195182	Humboldt	Samuel	Wong		707-269-7590	CarolRomero@EvergreenPulp.com	25	Acres		 		2499-Wood Products, NEC	2411-Logging		Humboldt Bay		Y	Samuel Wong		10-MAR-04 12.00.00.000000 AM	 
Industrial	178347	1 12I018701	Terminated	03/19/2004	08/31/2005	1	Humboldt	Stockton Pacific Ent Inc	Stockton Pacific Ent Inc 	1 tcf dr		Samoa	CA	95564			Humboldt	Samuel	Wong		7072697553	CarolRomero@EvergreenPulp.com	80	Acres		 		2611-Pulp Mills			Humboldt Bay		Y	Carol Romero		10-MAR-04 12.00.00.000000 AM	 
Industrial	178348	1 12I018770	Active	04/30/2004		1	Humboldt	Randall Sand  Gravel 	Randall Sand  Gravel 	214 West Rver Lane	PO Box 339	Garberville	CA	95542	40.092741	-123.799503	Humboldt	Cathy	Studebaker	Owner	707-923-2820	randallsg@yahoo.com	30	Acres	20	Acres		3273-Ready-Mixed Concrete	1442-Construction Sand and Gravel	2875-Fertilizers, Mixing Only	South Fork Eel River	Y	N	Cathy Studebaker	Owner	25-JUN-15 04.18.04.461000 PM	 
Industrial	178349	1 12I018790	Terminated	05/10/2004	07/01/2007	1	Humboldt	William F Jackson Jr 	Jacksonhill Rnch Rock Quarry 	4035 Blue Lake Blvd		Blue Lake	CA	95525	40.900821	-123.918713	Humboldt	William	F Jackson Jr		7076685080		4	Acres		 		1499-Miscellaneous Nonmetallic Minerals, Except Fuels			North Fork Mad River	Y		William F Jackson Jr	Owner	15-APR-04 12.00.00.000000 AM	 
Industrial	178350	1 05I018957	Terminated	08/11/2004	06/01/2018	1	Calaveras	Bobby Monroe Marks 	Thrifty Auto 	Mile Marker 4400		Dinsmore	CA	95226	38.231458	-120.86712	Calaveras	Bob	Marks		707-574-6521	bobmarks203@gmail.com	5	Acres	11250	Sqft	0	5015-Motor Vehicle Parts, Used			Van Duzen River	Y	N	Bobby Marks	owner	17-JUN-15 05.40.35.076000 PM	 
Industrial	178351	1 12I019048	Active	09/28/2004		1	Humboldt	Mercer Fraser Co 	Mercer Fraser Co Willow Creek	351 Highway 96		Willow Creek	CA	95573	41.009591	-123.645659	Humboldt	Mark	Benzinger	Vice President	707-443-6371	mbenzinger@mercerfraser.com	16	Acres	16	 		9999-Nonclassifiable Establishments	1442-Construction Sand and Gravel		Trinity River	Y	N	Justin Zabel	President	05-JUN-15 07.19.01.555000 AM	 
